Indicator,Country,Date,value
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-26,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-26,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-26,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-26,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-26,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-26,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-26,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-26,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-26,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-26,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-26,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-26,1.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-27,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-27,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-27,3151.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-27,13582.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-27,8697.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-27,287.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-27,9.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-27,2076.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-27,1879.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-27,4806.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-27,3952.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-27,208.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-27,452.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-27,2528.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-27,5636.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-27,4598.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-27,3586.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-27,3797.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-27,3336.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-27,158.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-27,2.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-27,2.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-27,6.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-27,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-27,0.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-27,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-27,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-27,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-27,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-27,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-27,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-27,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-27,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-27,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-27,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-27,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-27,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-27,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-27,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-27,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-27,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-27,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-27,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-27,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-27,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-27,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-27,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-27,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-27,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-27,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-27,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-27,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-27,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-27,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-27,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-27,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-27,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-27,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-27,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-28,10666.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-28,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-28,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-28,5636.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-28,8697.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-28,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-28,4602.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-28,3952.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-28,2076.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-28,4806.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-28,208.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-28,2528.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-28,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-28,13586.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-28,3586.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-28,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-28,3797.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-28,3336.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-28,452.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-28,9.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-28,2.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-28,2.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-28,6.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-28,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-28,0.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-28,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-28,0.0
"Cumulative number of suspected Ebola cases",Italy,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,2015-08-28,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-08-28,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-08-28,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-08-28,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-08-28,7.0
"Cumulative number of probable Ebola cases",Mali,2015-08-28,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-08-28,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-08-28,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-08-28,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-08-28,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-08-28,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-08-28,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-08-28,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-08-28,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-08-28,1.0
"Cumulative number of probable Ebola cases",Spain,2015-08-28,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-08-28,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-08-28,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-08-28,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-08-28,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-08-28,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-08-28,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-08-28,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-08-28,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-08-28,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-08-28,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-08-28,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-08-28,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-08-28,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-08-28,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-08-28,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-08-28,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-08-28,1.0
"Cumulative number of probable Ebola deaths",Guinea,2015-08-31,452.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-31,10666.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-08-31,13603.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-08-31,158.0
"Cumulative number of probable Ebola cases",Liberia,2015-08-31,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-08-31,5636.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-08-31,4806.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-08-31,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-08-31,4618.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-08-31,3953.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-08-31,3587.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-08-31,208.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-08-31,3790.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-08-31,2076.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-08-31,3151.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-08-31,8698.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-08-31,3337.0
"Cumulative number of probable Ebola cases",Guinea,2015-08-31,452.0
"Cumulative number of suspected Ebola cases",Guinea,2015-08-31,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-08-31,2528.0
"Cumulative number of confirmed Ebola cases","Liberia 2",2015-08-31,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2",2015-08-31,6.0
"Cumulative number of probable Ebola cases","Liberia 2",2015-08-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2",2015-08-31,2.0
"Cumulative number of confirmed Ebola deaths","Liberia 2",2015-08-31,2.0
"Cumulative number of confirmed Ebola cases",Italy,2015-08-31,1.0
"Cumulative number of probable Ebola cases",Italy,2015-08-31,0.0
